24 4 1 343 539 64 55 0  
97 1 2 951 597 69 85 0  
98 1 3 946 600 66 87 0  
99 1 4 935 598 75 87 0  
100 1 5 926 598 72 91 0  
101 1 6 915 598 72 101 0  
102 1 7 904 598 73 105 0  
103 1 8 892 600 79 109 0  
104 0 9 880 599 84 128 0  
105 1 10 865 593 92 116 0  
106 1 11 853 592 94 126 0  
107 1 21 841 593 121 136 0  
108 1 14 836 585 124 139 0  
109 1 16 824 593 135 145 0  
110 1 22 811 584 147 149 0  
111 1 23 807 588 165 171 0  
112 3 24 1179 614 62 43 0  
112 1 26 786 569 194 183 0  
113 1 28 776 570 213 203 0  
113 3 29 1233 612 72 51 0  
114 1 32 758 573 224 216 0  
114 3 33 1317 607 109 70 0  
114 3 34 1125 605 53 40 0  
115 3 35 1442 608 150 86 0  
115 3 36 1165 604 68 60 0  
115 1 37 742 577 247 246 0  
116 3 38 1683 620 248 134 0  
116 3 39 1212 611 79 62 0  
116 1 40 710 569 273 247 0  
117 1 41 683 557 316 305 0  
117 3 42 1286 613 103 79 0  
118 1 43 649 548 369 303 0  
118 3 44 1401 604 149 109 0  
119 1 46 607 557 416 380 0  
119 3 47 1594 608 215 136 0  
120 1 49 554 546 510 448 0  
121 0 53 479 510 597 508 0  
121 1 54 779 523 0 0 0  
122 1 56 417 482 744 636 0  
123 1 57 357 436 809 804 0  
126 0 58 1238 626 91 45 0  
127 0 59 1377 623 138 56 0  
128 0 60 1418 620 130 81 0  
129 0 63 1634 626 222 109 0  
